pair_id,viewpoint_1,viewpoint_2,pair_map50_95,pair_map50,pair_f1,single_1_map50_95,single_2_map50_95,single_1_rank,single_2_rank,best_constituent_single_map50_95,mean_constituent_single_map50_95,worst_constituent_single_map50_95,pair_minus_best_single,pair_minus_mean_single,pair_minus_worst_single,number_of_train_images,number_of_val_images,budget_control_map50_95,pair_minus_budget_control,budget_control_run_count,budget_control_ids,beats_best_single,beats_mean_single,elevation_combo
p0001,ellow-radnear-az000,ellow-radnear-az045,0.29490787497256593,0.4905658384678068,0.5517492580684629,0.31016518002313737,0.28505665657478896,52,63,0.31016518002313737,0.29761091829896313,0.28505665657478896,-0.015257305050571435,-0.002703043326397203,0.009851218397776973,287,56,nan,nan,0,,False,False,ellow-ellow
p0002,ellow-radnear-az000,ellow-radnear-az090,0.30590246016725264,0.5061402811622446,0.5538087178097553,0.31016518002313737,0.29210572313626104,52,62,0.31016518002313737,0.30113545157969923,0.29210572313626104,-0.004262719855884722,0.004767008587553412,0.013796737030991602,289,54,nan,nan,0,,False,True,ellow-ellow
p0003,ellow-radnear-az000,ellow-radnear-az135,0.3218381243912104,0.5166916643979408,0.5664721305647548,0.31016518002313737,0.2839740856928261,52,65,0.31016518002313737,0.2970696328579817,0.2839740856928261,0.011672944368073035,0.024768491533228687,0.037864038698384284,289,54,nan,nan,0,,True,True,ellow-ellow
p0004,ellow-radnear-az000,ellow-radnear-az180,0.33952145434799863,0.5459706644519909,0.592944008965308,0.31016518002313737,0.29540226925164786,52,60,0.31016518002313737,0.3027837246373926,0.29540226925164786,0.029356274324861265,0.036737729710606015,0.044119185096350766,276,60,nan,nan,0,,True,True,ellow-ellow
p0005,ellow-radnear-az000,ellow-radnear-az225,0.34021718178420085,0.5523098034321585,0.6058555868415288,0.31016518002313737,0.29327532500466835,52,61,0.31016518002313737,0.3017202525139029,0.29327532500466835,0.030052001761063485,0.038496929270297964,0.0469418567795325,280,59,nan,nan,0,,True,True,ellow-ellow
p0006,ellow-radnear-az000,ellow-radnear-az270,0.31444790086435914,0.510813186186516,0.561134787698465,0.31016518002313737,0.2678192772347479,52,72,0.31016518002313737,0.28899222862894264,0.2678192772347479,0.0042827208412217765,0.025455672235416504,0.04662862362961123,291,54,nan,nan,0,,True,True,ellow-ellow
p0007,ellow-radnear-az000,ellow-radnear-az315,0.3070990465452565,0.502031395885058,0.5596132401678875,0.31016518002313737,0.27834927940285153,52,68,0.31016518002313737,0.29425722971299445,0.27834927940285153,-0.0030661334778808724,0.012841816832262043,0.02874976714240496,281,65,nan,nan,0,,False,True,ellow-ellow
p0008,ellow-radnear-az000,ellow-radmid-az000,0.2995644595896603,0.4891299231074752,0.5428766912949994,0.31016518002313737,0.31117612143053364,52,51,0.31117612143053364,0.31067065072683553,0.31016518002313737,-0.01161166184087331,-0.011106191137175203,-0.01060072043347704,288,56,nan,nan,0,,False,False,ellow-ellow
p0009,ellow-radnear-az000,ellow-radmid-az045,0.2986726009125882,0.4982938664282111,0.5476048499869286,0.31016518002313737,0.30014263000222136,52,58,0.31016518002313737,0.30515390501267936,0.30014263000222136,-0.011492579110549184,-0.006481304100091179,-0.0014700290896331736,284,54,nan,nan,0,,False,False,ellow-ellow
p0010,ellow-radnear-az000,ellow-radmid-az090,0.30548192427136867,0.500349664019032,0.556167547515138,0.31016518002313737,0.29891069134571624,52,59,0.31016518002313737,0.3045379356844268,0.29891069134571624,-0.0046832557517687,0.0009439885869418907,0.006571232925652426,288,55,nan,nan,0,,False,True,ellow-ellow
